MARKET_COUPONS,YEAR,QUARTER,ORIGIN,DEST,REPORTING_CARRIER,TICKET_CARRIER,OPERATING_CARRIER,PASSENGERS,MARKET_FARE,MARKET_DISTANCE,NONSTOP_MILES
2,2023,1,MCO,XNA,MQ,AA,99,1.0,5.6,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,5.4,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,1.0,5.6,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,2.0,5.4,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,2.0,5.6,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,197.52,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,204.48,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,199.0,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,206.0,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,214.72,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,1.0,222.28,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,218.65,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,1.0,226.35,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,223.57,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,231.43,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,2.0,228.48,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,2.0,236.52,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,238.31,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,1.0,246.69,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,247.64,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,256.36,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,253.05,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,261.95,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,269.75,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,1.0,279.25,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,287.93,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,298.07,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,316.92,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,328.08,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,361.64,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,374.36,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,388.17,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,1.0,401.83,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,390.63,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,1.0,404.37,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,398.49,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,412.51,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,520.34,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,1.0,538.66,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,725.24,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,AA,1.0,750.76,1265.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,309.05,1222.0,932.0
2,2023,1,MCO,XNA,MQ,99,99,1.0,277.95,1291.0,932.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,416.25,1222.0,932.0
2,2023,1,MCO,XNA,MQ,AA,99,1.0,439.75,1291.0,932.0
3,2023,1,XNA,TPA,MQ,99,99,1.0,283.48,1303.0,895.0
2,2023,1,TPA,XNA,MQ,AA,99,1.0,292.52,1261.0,895.0
2,2023,1,XNA,MCO,MQ,AA,99,1.0,392.09,1222.0,932.0
3,2023,1,MCO,XNA,MQ,99,99,1.0,387.91,1290.0,932.0
2,2023,1,XNA,MDT,MQ,AA,99,1.0,556.0,1167.0,990.0
2,2023,1,XNA,MDT,MQ,AA,99,1.0,5.5,1167.0,990.0
2,2023,1,MDT,XNA,MQ,AA,99,1.0,5.5,1167.0,990.0
2,2023,1,XNA,MDT,MQ,AA,99,1.0,192.0,1167.0,990.0
2,2023,1,MDT,XNA,MQ,AA,99,1.0,192.0,1167.0,990.0
2,2023,1,XNA,MDT,MQ,AA,99,1.0,356.5,1167.0,990.0
2,2023,1,MDT,XNA,MQ,AA,99,1.0,356.5,1167.0,990.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,323.65,754.0,754.0
1,2023,1,CLT,MEM,MQ,AA,OH,1.0,219.35,511.0,511.0
2,2023,1,XNA,MGM,MQ,AA,99,1.0,382.0,1126.0,529.0
2,2023,1,XNA,MGM,MQ,AA,99,1.0,224.87,1126.0,529.0
2,2023,1,MGM,XNA,MQ,AA,99,1.0,180.13,902.0,529.0
2,2023,1,XNA,MHT,MQ,AA,99,1.0,221.5,1491.0,1299.0
2,2023,1,MHT,XNA,MQ,AA,99,1.0,221.5,1491.0,1299.0
2,2023,1,XNA,MHT,MQ,AA,99,1.0,247.0,1491.0,1299.0
2,2023,1,MHT,XNA,MQ,AA,99,1.0,247.0,1491.0,1299.0
2,2023,1,XNA,MHT,MQ,AA,99,1.0,305.0,1491.0,1299.0
2,2023,1,MHT,XNA,MQ,AA,99,1.0,305.0,1491.0,1299.0
2,2023,1,XNA,MHT,MQ,AA,99,1.0,317.5,1491.0,1299.0
2,2023,1,MHT,XNA,MQ,AA,99,1.0,317.5,1491.0,1299.0
2,2023,1,XNA,MHT,MQ,AA,99,1.0,318.0,1491.0,1299.0
2,2023,1,MHT,XNA,MQ,AA,99,1.0,318.0,1491.0,1299.0
2,2023,1,XNA,MHT,MQ,AA,99,1.0,450.0,1491.0,1299.0
2,2023,1,MHT,XNA,MQ,AA,99,1.0,450.0,1491.0,1299.0
2,2023,1,XNA,MHT,MQ,AA,99,1.0,961.5,1491.0,1299.0
2,2023,1,MHT,XNA,MQ,AA,99,1.0,961.5,1491.0,1299.0
2,2023,1,XNA,MHT,MQ,AA,99,1.0,877.92,1491.0,1299.0
2,2023,1,MHT,XNA,MQ,AA,99,1.0,806.08,1369.0,1299.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,5.0,1404.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,251.0,1404.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,419.0,1404.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,300.0,1404.0,1099.0
2,2023,1,MIA,XNA,MQ,AA,99,1.0,300.0,1404.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,318.0,1404.0,1099.0
2,2023,1,MIA,XNA,MQ,AA,99,1.0,318.0,1404.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,465.5,1404.0,1099.0
2,2023,1,MIA,XNA,MQ,AA,99,1.0,465.5,1404.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,666.0,1404.0,1099.0
2,2023,1,MIA,XNA,MQ,AA,99,1.0,666.0,1404.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,240.12,1404.0,1099.0
2,2023,1,MIA,XNA,MQ,AA,99,1.0,321.88,1882.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,5.51,1404.0,1099.0
2,2023,1,MIA,XNA,MQ,AA,AA,1.0,5.49,1401.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,370.4,1404.0,1099.0
2,2023,1,MIA,XNA,MQ,AA,99,1.0,369.6,1401.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,252.98,1404.0,1099.0
1,2023,1,MIA,XNA,MQ,AA,MQ,1.0,198.02,1099.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,307.95,1404.0,1099.0
1,2023,1,MIA,XNA,MQ,AA,MQ,1.0,241.05,1099.0,1099.0
2,2023,1,XNA,MIA,MQ,AA,99,1.0,442.01,1404.0,1099.0
1,2023,1,MIA,XNA,MQ,AA,MQ,1.0,345.99,1099.0,1099.0
2,2023,1,XNA,MLB,MQ,AA,99,1.0,5.0,1244.0,977.0
2,2023,1,XNA,MLB,MQ,AA,99,1.0,567.0,1244.0,977.0
2,2023,1,XNA,MLB,MQ,AA,99,1.0,242.0,1244.0,977.0
2,2023,1,MLB,XNA,MQ,AA,99,1.0,242.0,1244.0,977.0
2,2023,1,XNA,MLB,MQ,AA,99,1.0,361.0,1244.0,977.0
2,2023,1,MLB,XNA,MQ,AA,99,1.0,361.0,1244.0,977.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,189.09,754.0,754.0
1,2023,1,CLT,MOB,MQ,AA,PT,1.0,131.91,526.0,526.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,77.91,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,96.09,930.0,930.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,137.01,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,168.99,930.0,930.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,210.89,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,260.11,930.0,930.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,235.51,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,290.49,930.0,930.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,90.22,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,111.28,930.0,930.0
1,2023,1,MSP,CLT,MQ,AA,AA,1.0,111.28,930.0,930.0
1,2023,1,CLT,XNA,MQ,AA,MQ,1.0,90.22,754.0,754.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,145.66,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,179.66,930.0,930.0
2,2023,1,MSP,XNA,MQ,AA,99,1.0,218.68,1132.0,596.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,252.76,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,311.76,930.0,930.0
2,2023,1,MSP,XNA,MQ,AA,99,1.0,379.48,1132.0,596.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,256.51,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,316.38,930.0,930.0
2,2023,1,MSP,XNA,MQ,AA,AA,1.0,385.11,1132.0,596.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,110.73,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,136.57,930.0,930.0
2,2023,1,MSP,XNA,MQ,AA,MQ,1.0,125.7,856.0,596.0
1,2023,1,XNA,CLT,MQ,AA,MQ,1.0,227.09,754.0,754.0
1,2023,1,CLT,MSP,MQ,AA,AA,1.0,280.1,930.0,930.0
2,2023,1,MSP,XNA,MQ,AA,99,1.0,257.81,856.0,596.0
2,2023,1,XNA,MYR,MQ,AA,99,1.0,565.0,911.0,890.0
2,2023,1,XNA,MYR,MQ,AA,99,1.0,496.03,911.0,890.0
1,2023,1,MYR,CLT,MQ,AA,AA,1.0,85.48,157.0,157.0
1,2023,1,CLT,CHS,MQ,AA,AA,1.0,91.47,168.0,168.0
2,2023,1,CHS,XNA,MQ,AA,99,1.0,502.02,922.0,845.0
