ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE,SPILLED_PAX_ERJ145,SPILLED_PAX_ERJ170,SPILLED_PAX_ERJ175,SPILL_COST_ERJ145,SPILL_COST_ERJ170,SPILL_COST_ERJ175
BUF,ORD,27.0,1579.0,58.48148148148148,201.8445977011494,8.481481481481481,0.0,0.0,1711.9412175393782,0.0,0.0
BWI,MIA,1.0,58.0,58.0,283.5,8.0,0.0,0.0,2268.0,0.0,0.0
BWI,ORD,50.0,2297.0,45.94,205.19138392857144,0.0,0.0,0.0,0.0,0.0,0.0
BZN,AUS,4.0,93.0,23.25,373.19,0.0,0.0,0.0,0.0,0.0,0.0
BZN,ORD,22.0,1529.0,69.5,283.82416149068325,19.5,4.5,0.0,5534.571149068323,1277.2087267080747,0.0
CAE,ATL,1.0,58.0,58.0,,8.0,0.0,0.0,,,
CHA,CLT,1.0,56.0,56.0,123.87,6.0,0.0,0.0,743.22,0.0,0.0
CHA,DFW,75.0,4694.0,62.586666666666666,298.901072386059,12.586666666666666,0.0,0.0,3762.1681644325295,0.0,0.0
CHS,DCA,15.0,794.0,52.93333333333333,227.0992477876106,2.93333333333333,0.0,0.0,666.1577935103237,0.0,0.0
CHS,MIA,58.0,3715.0,64.05172413793103,208.9964299424184,14.051724137931032,0.0,0.0,2936.7601793632925,0.0,0.0
CID,DFW,8.0,551.0,68.875,337.4746715328467,18.875,3.875,0.0,6369.834425182481,1307.7143521897808,0.0
CID,ORD,77.0,3322.0,43.142857142857146,199.78021739130435,0.0,0.0,0.0,0.0,0.0,0.0
CLE,ORD,68.0,2558.0,37.61764705882353,193.9043722943723,0.0,0.0,0.0,0.0,0.0,0.0
CLT,AGS,21.0,1042.0,49.61904761904762,306.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,ATL,8.0,376.0,47.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,ATW,31.0,1724.0,55.61290322580645,287.7089256198347,5.612903225806448,0.0,0.0,1614.8823567048778,0.0,0.0
CLT,BHM,19.0,1160.0,61.05263157894737,281.8726666666667,11.05263157894737,0.0,0.0,3115.4347368421063,0.0,0.0
CLT,BNA,8.0,506.0,63.25,173.41,13.25,0.0,0.0,2297.6825,0.0,0.0
CLT,DAY,7.0,297.0,42.42857142857143,165.64,0.0,0.0,0.0,0.0,0.0,0.0
CLT,EYW,2.0,151.0,75.5,298.7646153846154,25.5,10.5,0.0,7618.497692307693,3137.0284615384617,0.0
CLT,GRR,6.0,244.0,40.66666666666666,203.3692307692308,0.0,0.0,0.0,0.0,0.0,0.0
CLT,GSP,20.0,1171.0,58.55,,8.549999999999997,0.0,0.0,,,
CLT,HHH,64.0,3495.0,54.609375,253.0596153846154,4.609375,0.0,0.0,1166.4466646634617,0.0,0.0
CLT,JAX,1.0,67.0,67.0,628.41,17.0,2.0,0.0,10682.97,1256.82,0.0
CLT,MEM,15.0,686.0,45.73333333333333,256.88484848484853,0.0,0.0,0.0,0.0,0.0,0.0
CLT,MSN,6.0,194.0,32.333333333333336,250.4454166666667,0.0,0.0,0.0,0.0,0.0,0.0
CLT,SAV,10.0,630.0,63.0,258.83,13.0,0.0,0.0,3364.79,0.0,0.0
CLT,SGF,66.0,3779.0,57.25757575757576,275.1607471264368,7.257575757575758,0.0,0.0,1996.999967781261,0.0,0.0
CLT,XNA,59.0,3267.0,55.3728813559322,295.08366666666666,5.372881355932201,0.0,0.0,1585.4495310734455,0.0,0.0
CMH,BOS,21.0,769.0,36.61904761904762,213.60093922651933,0.0,0.0,0.0,0.0,0.0,0.0
CMH,DCA,31.0,1088.0,35.096774193548384,174.10388235294118,0.0,0.0,0.0,0.0,0.0,0.0
CMH,MIA,63.0,3904.0,61.96825396825397,288.7955667144907,11.968253968253968,0.0,0.0,3456.3786873448566,0.0,0.0
