ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE
DCA,XNA,29.0,1120.0,38.62068965517241,280.1218260869565
DFW,ABI,105.0,4768.0,45.40952380952381,212.22758620689655
DFW,AGS,30.0,1747.0,58.23333333333333,288.8588028169014
DFW,AUS,38.0,1995.0,52.5,207.6916326530612
DFW,AVL,30.0,1921.0,64.03333333333333,321.7571555555556
DFW,BHM,20.0,1010.0,50.5,256.465421686747
DFW,BIL,21.0,1263.0,60.142857142857146,331.21414285714286
DFW,BIS,33.0,1951.0,59.121212121212125,397.49304347826086
DFW,BOI,1.0,64.0,64.0,369.1675
DFW,BRO,40.0,1743.0,43.575,263.5622695035461
DFW,BTR,77.0,4702.0,61.06493506493506,288.2474086378738
DFW,CHA,75.0,4541.0,60.54666666666667,308.3154907161804
DFW,CID,8.0,446.0,55.75,315.0579194630872
DFW,CMI,56.0,2873.0,51.30357142857143,305.5677551020408
DFW,COS,15.0,1012.0,67.46666666666667,234.43893333333327
DFW,COU,65.0,4200.0,64.61538461538461,222.04942446043165
DFW,CRP,69.0,3945.0,57.17391304347826,269.1804411764706
DFW,DAB,9.0,472.0,52.44444444444444,290.0673643410853
DFW,DAY,47.0,3007.0,63.97872340425532,306.7329192546584
DFW,DRO,53.0,2659.0,50.16981132075472,298.22542372881355
DFW,DSM,1.0,44.0,44.0,166.3538095238095
DFW,ECP,37.0,2307.0,62.35135135135136,233.50505494505487
DFW,ELP,15.0,938.0,62.53333333333333,220.2538
DFW,EVV,38.0,1622.0,42.68421052631579,341.97006993006994
DFW,FAR,42.0,2668.0,63.523809523809526,330.0138235294118
DFW,FAT,1.0,55.0,55.0,270.55
DFW,FAY,30.0,1881.0,62.7,273.53801587301587
DFW,FSD,44.0,2790.0,63.40909090909091,293.20464646464643
DFW,FSM,39.0,2327.0,59.66666666666666,235.1065573770492
DFW,GJT,69.0,3292.0,47.71014492753624,291.60124223602486
DFW,GNV,29.0,1741.0,60.03448275862069,355.2441666666667
DFW,GPT,40.0,2305.0,57.625,260.635756097561
DFW,GRK,41.0,1213.0,29.585365853658537,158.10875
DFW,GRR,28.0,1730.0,61.785714285714285,321.47535714285715
DFW,HOU,28.0,1655.0,59.10714285714285,173.06377245508983
DFW,HRL,75.0,3668.0,48.906666666666666,203.0167018469657
DFW,HSV,43.0,1972.0,45.86046511627907,353.3565454545455
DFW,ICT,40.0,2344.0,58.6,288.1687671232877
DFW,IND,6.0,332.0,55.333333333333336,283.59593406593405
DFW,JAN,69.0,4215.0,61.08695652173913,273.17483870967743
DFW,LBB,65.0,4134.0,63.6,214.1844378698225
DFW,LCH,9.0,221.0,24.55555555555556,183.70550561797756
DFW,LEX,76.0,4129.0,54.328947368421055,347.0165171503958
DFW,LFT,85.0,3617.0,42.55294117647059,246.01916666666668
DFW,LIT,103.0,6935.0,67.33009708737865,236.80394265232977
DFW,LRD,1.0,76.0,76.0,254.14
DFW,MAF,89.0,5003.0,56.21348314606742,245.5094350282486
DFW,MGM,58.0,3421.0,58.98275862068966,298.1860550458716
DFW,MHK,63.0,3726.0,59.142857142857146,249.52838095238096
DFW,MLI,18.0,1035.0,57.5,285.11311557788946
DFW,MOB,58.0,3268.0,56.3448275862069,243.08149758454107
DFW,MRY,59.0,3132.0,53.08474576271186,325.2867777777778
DFW,MSN,8.0,434.0,54.25,325.2090666666667
DFW,MSO,21.0,1084.0,51.61904761904762,300.61325301204823
DFW,MYR,2.0,127.0,63.5,328.04016949152543
DFW,OKC,13.0,935.0,71.92307692307692,264.75
DFW,OMA,1.0,61.0,61.0,208.538125
DFW,ORD,1.0,57.0,57.0,242.4849504950495
DFW,PIA,22.0,1246.0,56.63636363636363,269.273984962406
DFW,PNS,20.0,1452.0,72.6,262.70907407407407
DFW,RAP,61.0,3669.0,60.14754098360656,307.764824120603
DFW,SDF,33.0,2080.0,63.03030303030303,241.92284210526316
DFW,SGF,184.0,10154.0,55.18478260869565,292.9804696132597
DFW,SHV,61.0,3163.0,51.85245901639344,246.34642857142856
DFW,SJT,36.0,1799.0,49.97222222222222,248.19323076923075
DFW,STL,8.0,503.0,62.875,243.343137254902
DFW,STS,9.0,475.0,52.77777777777778,317.8760839160839
DFW,TLH,52.0,3204.0,61.61538461538461,312.2073953488372
DFW,TRI,11.0,603.0,54.81818181818182,270.2738888888889
DFW,TUL,4.0,281.0,70.25,201.8156338028169
DFW,VPS,5.0,297.0,59.4,257.98774336283185
DFW,XNA,132.0,8379.0,63.47727272727273,267.96504405286345
DRO,DFW,52.0,2609.0,50.17307692307692,305.2980844155844
DSM,CID,1.0,50.0,50.0,
DSM,DCA,75.0,3209.0,42.78666666666667,266.04299270072994
DSM,MHK,1.0,44.0,44.0,
DSM,MIA,4.0,285.0,71.25,279.3323404255319
DSM,ORD,54.0,2908.0,53.851851851851855,228.1251111111111
DTW,AZO,1.0,41.0,41.0,
DTW,ORD,47.0,1817.0,38.659574468085104,189.15752475247524
ECP,DFW,38.0,2344.0,61.68421052631579,228.7478350515464
ELP,AUS,78.0,3511.0,45.01282051282051,165.83599264705882
ELP,DFW,15.0,1064.0,70.93333333333334,248.53727272727272
EVV,DFW,39.0,1432.0,36.71794871794872,313.5485185185185
EWR,ORD,9.0,639.0,71.0,174.0311111111111
EYW,CLT,2.0,115.0,57.5,296.326
EYW,DCA,1.0,56.0,56.0,357.9945341614907
EYW,MIA,97.0,5704.0,58.8041237113402,259.918
EYW,ORD,9.0,558.0,62.0,327.05573584905665
FAR,DFW,41.0,2629.0,64.1219512195122,321.8102898550724
FAR,ORD,68.0,2888.0,42.47058823529412,243.95197674418603
FAR,PHX,22.0,1230.0,55.90909090909091,281.94157894736844
FAT,MRY,1.0,55.0,55.0,
FAY,DFW,30.0,1545.0,51.5,261.1037323943662
FNT,ORD,58.0,2485.0,42.8448275862069,237.0041176470588
FSD,DFW,44.0,2957.0,67.20454545454545,310.2501030927835
FSD,ORD,70.0,2680.0,38.285714285714285,193.4364444444444
FSM,DFW,39.0,1747.0,44.7948717948718,227.72526315789477
FWA,ORD,9.0,358.0,39.77777777777778,137.96833333333333
GJT,DFW,69.0,3823.0,55.40579710144928,289.79648936170213
GJT,PHX,31.0,1591.0,51.32258064516129,244.64509803921567
GNV,DFW,30.0,1778.0,59.266666666666666,342.4853623188406
GNV,MIA,29.0,910.0,31.379310344827587,231.29701492537316
GPT,DFW,41.0,2345.0,57.19512195121951,264.24028985507243
GRB,ORD,54.0,2749.0,50.907407407407405,176.71428571428572
GRK,DFW,41.0,2096.0,51.1219512195122,261.57142857142856
GRR,CLT,6.0,262.0,43.66666666666666,296.4392307692308
GRR,DCA,8.0,418.0,52.25,374.4634615384615
GRR,DFW,29.0,1918.0,66.13793103448276,326.0547080291971
GRR,MIA,4.0,294.0,73.5,335.07475
GRR,ORD,78.0,4271.0,54.756410256410255,244.7348484848485
GSO,DCA,18.0,614.0,34.111111111111114,193.67451612903224
GSO,MIA,31.0,2075.0,66.93548387096774,319.41425531914894
GSO,ORD,59.0,1822.0,30.88135593220339,180.76088825214904
GSP,CLT,20.0,1290.0,64.5,
GSP,DCA,6.0,176.0,29.33333333333333,228.83333333333331
GSP,MIA,31.0,1968.0,63.483870967741936,288.46398907103827
GSP,ORD,28.0,1381.0,49.32142857142857,200.8931188118812
HHH,CLT,65.0,3771.0,58.01538461538462,190.52472222222224
HOU,DFW,28.0,1614.0,57.642857142857146,169.47517441860464
HOU,MIA,1.0,0.0,0.0,284.58
HPN,MIA,21.0,1148.0,54.66666666666666,184.73150851581508
HPN,ORD,58.0,2006.0,34.58620689655172,190.532
HRL,BRO,1.0,32.0,32.0,
HRL,DFW,74.0,4750.0,64.1891891891892,209.8238043478261
HSV,BHM,1.0,76.0,76.0,
HSV,DCA,8.0,300.0,37.5,282.9665686274509
HSV,DFW,43.0,2232.0,51.906976744186046,349.8740306122449
HSV,ORD,8.0,329.0,41.125,177.50799999999998
IAH,MIA,50.0,3478.0,69.56,271.04060402684564
IAH,ORD,31.0,1846.0,59.54838709677419,202.82629139072847
ICT,DFW,38.0,2247.0,59.13157894736842,266.835838150289
ICT,MHK,2.0,69.0,34.5,
ICT,ORD,67.0,2717.0,40.55223880597015,212.9117777777778
IND,AUS,29.0,1671.0,57.62068965517241,220.59582338902143
IND,DCA,1.0,33.0,33.0,162.03333333333333
IND,DFW,6.0,187.0,31.166666666666668,306.2475294117648
