ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT
GRR,CLT,6.0,262.0,43.666666666666664
GRR,DCA,8.0,418.0,52.25
GRR,DFW,29.0,1918.0,66.13793103448276
GRR,MIA,4.0,294.0,73.5
GRR,ORD,78.0,4271.0,54.756410256410255
GSO,DCA,18.0,614.0,34.111111111111114
GSO,MIA,31.0,2075.0,66.93548387096774
GSO,ORD,59.0,1822.0,30.88135593220339
GSP,CLT,20.0,1290.0,64.5
GSP,DCA,6.0,176.0,29.333333333333332
GSP,MIA,31.0,1968.0,63.483870967741936
GSP,ORD,28.0,1381.0,49.32142857142857
HHH,CLT,65.0,3771.0,58.01538461538462
HOU,DFW,28.0,1614.0,57.642857142857146
HOU,MIA,1.0,0.0,0.0
HPN,MIA,21.0,1148.0,54.666666666666664
HPN,ORD,58.0,2006.0,34.58620689655172
HRL,BRO,1.0,32.0,32.0
HRL,DFW,74.0,4750.0,64.1891891891892
HSV,BHM,1.0,76.0,76.0
HSV,DCA,8.0,300.0,37.5
HSV,DFW,43.0,2232.0,51.906976744186046
HSV,ORD,8.0,329.0,41.125
IAH,MIA,50.0,3478.0,69.56
IAH,ORD,31.0,1846.0,59.54838709677419
ICT,DFW,38.0,2247.0,59.13157894736842
ICT,MHK,2.0,69.0,34.5
ICT,ORD,67.0,2717.0,40.55223880597015
IND,AUS,29.0,1671.0,57.62068965517241
IND,DCA,1.0,33.0,33.0
IND,DFW,6.0,187.0,31.166666666666668
IND,MIA,30.0,1795.0,59.833333333333336
IND,ORD,52.0,2580.0,49.61538461538461
JAN,DFW,69.0,4273.0,61.927536231884055
JAN,GPT,1.0,48.0,48.0
JAX,HHH,1.0,67.0,67.0
JAX,MIA,128.0,6394.0,49.953125
JAX,ORD,3.0,219.0,73.0
LAN,ORD,47.0,1655.0,35.212765957446805
LBB,DFW,66.0,3428.0,51.93939393939394
LBB,PHX,31.0,1678.0,54.12903225806452
LCH,DFW,9.0,415.0,46.111111111111114
LEX,CMI,1.0,17.0,17.0
LEX,DFW,77.0,3864.0,50.18181818181818
LEX,ORD,57.0,1889.0,33.14035087719298
LFT,DFW,84.0,4436.0,52.80952380952381
LIT,DCA,30.0,1135.0,37.833333333333336
LIT,DFW,103.0,6640.0,64.46601941747574
LIT,MIA,1.0,57.0,57.0
LIT,ORD,67.0,2520.0,37.61194029850746
LRD,CRP,1.0,76.0,76.0
LSE,ORD,19.0,856.0,45.05263157894737
MAF,DFW,88.0,5484.0,62.31818181818182
MAF,PHX,21.0,1044.0,49.714285714285715
MCI,AUS,25.0,1276.0,51.04
MCI,CMI,1.0,42.0,42.0
MCI,ORD,64.0,3600.0,56.25
MEM,AUS,17.0,295.0,17.352941176470587
MEM,BOS,7.0,305.0,43.57142857142857
MEM,CLT,15.0,746.0,49.733333333333334
MEM,ORD,79.0,2873.0,36.36708860759494
MGM,DFW,58.0,3379.0,58.258620689655174
MHK,DFW,65.0,3780.0,58.15384615384615
MHK,ORD,58.0,1785.0,30.775862068965516
MIA,ATL,29.0,1947.0,67.13793103448276
MIA,AUS,57.0,3834.0,67.26315789473684
MIA,BHM,31.0,1882.0,60.70967741935484
MIA,BNA,33.0,2378.0,72.06060606060606
MIA,BWI,1.0,69.0,69.0
MIA,CHS,57.0,3989.0,69.98245614035088
MIA,CMH,62.0,4261.0,68.7258064516129
MIA,CVG,61.0,4093.0,67.09836065573771
MIA,DSM,4.0,259.0,64.75
MIA,EYW,97.0,4206.0,43.36082474226804
MIA,GNV,30.0,1510.0,50.333333333333336
MIA,GRR,4.0,284.0,71.0
MIA,GSO,31.0,1926.0,62.12903225806452
MIA,GSP,31.0,1874.0,60.45161290322581
MIA,HOU,1.0,74.0,74.0
MIA,HPN,22.0,1091.0,49.59090909090909
MIA,IAH,50.0,3584.0,71.68
MIA,IND,29.0,2104.0,72.55172413793103
MIA,JAX,127.0,7664.0,60.346456692913385
MIA,LIT,1.0,71.0,71.0
MIA,MSN,4.0,273.0,68.25
MIA,MSY,25.0,1862.0,74.48
MIA,PNS,80.0,4725.0,59.0625
