FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,DepTime,CRSArrTime,ArrTime,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,ORIGIN_TIMEZONE,DEST_TIMEZONE,DEP_REFERENCE_TIME,ARR_REFERENCE_TIME,OVERNIGHT_CORRECTION,REFERENCE_ELAPSED_MIN,ELAPSED_DIFF_MIN,DEP_REFERENCE_15MIN,ARR_REFERENCE_15MIN,DEP_TIME_INDEX_COMMON,ARR_TIME_INDEX_COMMON,FAA_N_NUMBER,N-NUMBER,MFR MDL CODE,CODE,MFR,MODEL,AIRCRAFT_TYPE
2023-01-01,MQ,N231AN,3656,LIT,ORD,640,630.0,837,819.0,0.0,0.0,117.0,109.0,86.0,552.0,America/Chicago,America/Chicago,2023-01-01 06:40:00-06:00,2023-01-01 08:37:00-06:00,False,117.0,0.0,2023-01-01 06:30:00-06:00,2023-01-01 08:30:00-06:00,26,34,231AN,231AN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N279MQ,4028,AUS,BNA,645,633.0,846,831.0,0.0,0.0,121.0,118.0,100.0,756.0,America/Chicago,America/Chicago,2023-01-01 06:45:00-06:00,2023-01-01 08:46:00-06:00,False,121.0,0.0,2023-01-01 06:45:00-06:00,2023-01-01 08:45:00-06:00,27,35,279MQ,279MQ,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N229NN,3615,ICT,ORD,645,636.0,844,843.0,0.0,0.0,119.0,127.0,83.0,588.0,America/Chicago,America/Chicago,2023-01-01 06:45:00-06:00,2023-01-01 08:44:00-06:00,False,119.0,0.0,2023-01-01 06:45:00-06:00,2023-01-01 08:30:00-06:00,27,34,229NN,229NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N219NN,4073,CMI,DFW,650,643.0,916,852.0,0.0,0.0,146.0,129.0,107.0,693.0,America/Chicago,America/Chicago,2023-01-01 06:50:00-06:00,2023-01-01 09:16:00-06:00,False,146.0,0.0,2023-01-01 06:45:00-06:00,2023-01-01 09:15:00-06:00,27,37,219NN,219NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N905JH,3540,SGF,ORD,652,645.0,840,820.0,0.0,0.0,108.0,95.0,69.0,438.0,America/Chicago,America/Chicago,2023-01-01 06:52:00-06:00,2023-01-01 08:40:00-06:00,False,108.0,0.0,2023-01-01 06:45:00-06:00,2023-01-01 08:30:00-06:00,27,34,905JH,905JH,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N942LL,3980,GSO,ORD,653,648.0,811,753.0,0.0,0.0,138.0,125.0,104.0,589.0,America/New_York,America/Chicago,2023-01-01 05:53:00-06:00,2023-01-01 08:11:00-06:00,False,138.0,0.0,2023-01-01 05:45:00-06:00,2023-01-01 08:00:00-06:00,23,32,942LL,942LL,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N288NN,3368,ATW,CLT,654,647.0,1015,1029.0,0.0,0.0,141.0,162.0,115.0,742.0,America/Chicago,America/New_York,2023-01-01 06:54:00-06:00,2023-01-01 09:15:00-06:00,False,141.0,0.0,2023-01-01 06:45:00-06:00,2023-01-01 09:15:00-06:00,27,37,288NN,288NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N764JD,3308,CID,ORD,657,650.0,814,810.0,0.0,0.0,77.0,80.0,42.0,196.0,America/Chicago,America/Chicago,2023-01-01 06:57:00-06:00,2023-01-01 08:14:00-06:00,False,77.0,0.0,2023-01-01 06:45:00-06:00,2023-01-01 08:00:00-06:00,27,32,764JD,764JD,3260416,3260416,EMBRAER,ERJ 170-100 STD,ERJ170
2023-01-01,MQ,N922AE,3674,MHK,ORD,657,649.0,855,845.0,0.0,0.0,118.0,116.0,75.0,501.0,America/Chicago,America/Chicago,2023-01-01 06:57:00-06:00,2023-01-01 08:55:00-06:00,False,118.0,0.0,2023-01-01 06:45:00-06:00,2023-01-01 08:45:00-06:00,27,35,922AE,922AE,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N210NN,4227,AUS,RNO,700,711.0,847,850.0,0.0,0.0,227.0,219.0,198.0,1405.0,America/Chicago,America/Los_Angeles,2023-01-01 07:00:00-06:00,2023-01-01 10:47:00-06:00,False,227.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 10:45:00-06:00,28,43,210NN,210NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
