PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
43330.48,,3400.47,5426.05,,,167952.75,,593.50,,,8845.54,,3550.41,3176.11,,236275.32,2068.85,661.52,6917.70,15971.23,,3467.77,1554.39,,,,,30641.45,7827.88,38469.33,1617.71,18056.27,8207.52,399.10,2632.82,,,,,305658.06,,,,,,24.72,2.26,53954.16,1,6,627,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3,3,2023,1
43830.00,0.00,11624.00,16472.00,1664.00,,124639.00,,1310.00,136.00,170.00,0.00,,5222.00,4664.00,16909.00,226640.00,30174.00,3353.00,2287.00,2054.00,,9503.00,2171.00,16773.00,,11242.00,,77557.00,56335.00,133892.00,,7841.00,7828.00,1306.00,425.00,,,,,377932.00,,,,,,18.26,3.67,42844.41,2,7,740,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,06200,D,3,3,2023,1
46298.00,0.00,2166.00,3561.00,6.00,0.00,63034.00,3.00,6115.00,4.00,261.00,12382.00,0.00,2422.00,0.00,132.00,136384.00,2940.00,1119.00,5644.00,10866.00,0.00,8186.00,3382.00,0.00,0.00,0.00,0.00,32137.00,12613.00,44750.00,285.00,10610.00,5385.00,273.00,681.00,0.00,,1365.00,0.00,199733.00,,,,,,31.70,4.05,21348.09,1,6,723,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
46796.84,0.00,3697.08,3795.93,0.00,0.00,207080.31,174.02,23793.41,0.00,280.72,12146.30,0.00,3861.33,3915.92,0.00,305541.84,10129.86,2519.91,11356.88,17101.19,0.00,7193.92,4589.83,0.00,0.00,0.00,0.00,52891.59,24480.53,77372.12,1244.91,13667.75,2573.44,1165.36,0.00,1898.26,,1529.25,,404992.94,,,,,,67.91,9.72,64926.76,1,6,698,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2023,1
47558.00,0.00,2172.00,3570.00,6.00,0.00,90391.00,3.00,6132.00,4.00,262.00,12415.00,0.00,2429.00,0.00,133.00,165075.00,2948.00,1122.00,5660.00,10896.00,0.00,8209.00,3392.00,0.00,0.00,0.00,0.00,32227.00,12648.00,44875.00,285.00,10639.00,5399.00,274.00,683.00,0.00,,1369.00,0.00,228599.00,,,,,,31.78,4.72,30613.36,1,6,698,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
48043.31,0.00,3801.06,3903.10,0.00,0.00,188238.22,178.95,24423.05,0.00,288.16,12480.31,0.00,3970.03,3575.68,0.00,288901.87,10412.77,2589.72,11675.40,17574.44,0.00,7409.47,4737.25,0.00,0.00,0.00,0.00,54399.05,25100.83,79499.88,1277.89,14031.05,2641.94,1196.39,0.00,1948.26,,1566.13,,391063.41,,,,,,25.99,2.68,59120.80,1,6,627,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2023,1
48282.00,0.00,189.00,3369.00,0.00,0.00,124759.00,184.00,5510.00,0.00,152.00,13270.00,0.00,2647.00,4917.00,75.00,203354.00,12438.00,553.00,17618.00,23953.00,0.00,2516.00,2413.00,0.00,0.00,0.00,0.00,59492.00,13953.00,73445.00,209.00,12276.00,2380.00,987.00,0.00,20.00,,0.00,,292670.00,,,,,,43.92,5.06,39095.00,1,6,614,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,06031,D,3,3,2023,1
50466.53,0.00,4864.57,5567.18,0.00,0.00,0.00,0.00,24500.35,0.00,127.17,3202.82,0.00,4843.42,0.00,848.58,94420.61,6266.00,0.00,14148.12,4660.20,0.00,2720.89,0.00,0.00,0.00,0.00,0.00,27795.19,110.34,27905.54,1214.24,0.00,0.00,991.59,0.00,613.06,,0.00,,125145.04,,,,,,30.20,6.20,24540.53,1,6,638,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,07028,D,2,2,2023,1
50667.00,0.00,1814.00,2982.00,5.00,0.00,158595.00,2.00,5121.00,3.00,218.00,10369.00,0.00,2028.00,0.00,111.00,231915.00,2462.00,937.00,4727.00,9100.00,0.00,6856.00,2833.00,0.00,0.00,0.00,0.00,26915.00,10563.00,37478.00,238.00,8886.00,4509.00,229.00,571.00,0.00,,1143.00,0.00,284969.00,,,,,,26.54,2.32,53712.46,1,6,687,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10261,A,3,3,2023,1
52286.00,0.00,2276.00,3741.00,6.00,0.00,89593.00,3.00,6425.00,4.00,274.00,13008.00,0.00,2545.00,0.00,139.00,170300.00,3089.00,1176.00,5930.00,11416.00,0.00,8600.00,3554.00,0.00,0.00,0.00,0.00,33765.00,13252.00,47017.00,299.00,11147.00,5657.00,287.00,716.00,0.00,,1434.00,0.00,236857.00,,,,,,33.30,5.88,30343.09,1,6,608,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
